,내용,날짜,별점,재구매,한달사용기,종류
49,부드럽고 꼼꼼하게 잘닦이네요 안전하고 빠른배송 항상 감사드립니다,22.05.09.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
50,한달사용기치아교정중인데 일반칫솔보다 잘 닦아져요~~,22.04.30.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
51,다음에도 또 이용할게요~,22.05.03.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
52,교정시작한 중딩딸 사줬어요.저렴하게 대량구매해서 편하네요.배송도 하루만에 왔구요.다음에도 재구매하러올께요,22.04.21.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
53,"재구매부드러워서 아이가 좋아하네요
너무 부드러워서 자주 바꾸게 되는게 단점이지만 사용감만 좋다면야 좋습니다
배송도 빨라요",22.04.29.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
54,다른 미세모 교정칫솔보다는 조금 거친느낌이있지만 가성비로 좋아요,22.05.08.,4,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
55,처음사용이라 잘 모르겠지만 일반칫솔이 안닫는부분을 직접닦는거라 나쁘진 않아요,22.05.06.,4,0,0,선택: D_어금니칫솔 / 종류: D-3 어금니 슬림모(부드러움) / 수량: 6개 실속패키지
56,많이 쟁여두니까 든든하네요 일반칫솔 안 닿는 곳까지 닦을 수 있어서 좋습니다,22.05.02.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 12개 실속패키지
57,"배송빠르고 제품도 좋습니다 
부드럽고 좋아요  다른것 보다 월씬 좋습니다",22.04.27.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
58,아이가 교정중인데 저번에 써보니 좋아서 재주문했어요. 사은품도 감사합니다. 많이 파세요~,22.04.30.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
59,큰아들 교정칫솔로 샀어요. 집에서 쓰기는 좋은데 다른칫솔케이스에 넣으려니 길이가 좀 기네요 ㅎㅎ사은품 주신거 잘 쓰겠습니다^^,22.04.27.,4,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 12개 실속패키지
60,큰아들 교정칫솔로 샀어요. 집에서 쓰기는 좋은데 다른칫솔케이스에 넣으려니 길이가 좀 기네요 ㅎㅎ사은품 주신거 잘 쓰겠습니다^^,22.04.27.,4,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
61,"교정시작후 칫솔비용이 조금은 부담이였는데 정말좋아요~
이제 마음이 놓이네요.",22.05.03.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 12개 실속패키지
62,한달사용기부드럽게 잘 닦여요 개별포장도 좋아요,22.05.09.,5,0,한달사용기,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 개별 박스포장
63,"개별 포장과 다름 없이 각자 캡 씌워져 있고 
가성비 좋아서 구매하길 잘한 것 같아요.",22.05.06.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
64,한달사용기칫솔 너무 좋네요. 인생칫솔 찾았습니다. 이제 이것만 구매해서 칫솔 사용할거 같습니다. 좋은 제품 만들어 판매해 주셔서 감사합니다.,22.04.27.,5,0,한달사용기,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
65,한달사용기너무 잘쓰고 있어요ㅎㅎ 교정중이라서 넘 편리하네요,22.05.07.,5,0,한달사용기,선택: F_치간칫솔 / 종류: F-1 치간칫솔 I형 50p / 수량: 3S(입문자추천)
66,첨 구매했는데 부드럽네요,22.05.08.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
67,잘받았어요! 사용해보진 않았지만 저렴하게 잘 샀네요,22.05.07.,5,0,0,선택: B_치과칫솔 / 종류: B-5 고급 이중 미세모(탄력적인) / 수량: 12개 실속패키지
68,"배송도 빠르고 포장도 꼼꼼하네요
칫솔은 생각보다 너무 좋아요!
색상도 다양하고 뚜껑도 있어서 놀러갈때 가지고 가기에도 편할거 같네요~",22.04.27.,5,0,0,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
69,"교정중인 딸이가 괜찮다고하네요
앞으론 여기서 구입해야겠어요",22.05.03.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
70,교정 시작해서 장치랑 치아 사이에 칫솔질 하려고 샀어요 잘 되면 좋겠네요,22.05.02.,5,0,0,선택: D_어금니칫솔 / 종류: D-3 어금니 슬림모(부드러움) / 수량: 6개 실속패키지
71,미세모는 부드럽고 일반은 딱 적당합니다! 좋은 가격에 잘 산 것 같네요ㅎㅎ,22.05.02.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
72,어금니칫솔은 부드러운 모보다 단단한 게 사용하기 좋대서 주문했어요 가격도 비싸지 않고 좋아요,22.04.29.,5,0,0,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 12개 실속패키지
73,한달사용기너무 부드러워서 그냥 좀 단단한걸로 살걸 후회했습니다,22.05.08.,4,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
74,항상 잘 쓰고 있어요. 사용하는 칫솔 다 사용하면 재구매 예정입니다.,22.05.03.,5,0,0,선택: B_치과칫솔 / 종류: B-4 슬림 미세모(부드러움) / 수량: 12개 실속패키지
75,좋은가격에 구매했어요.다쓰고 재주문 할꺼에요,22.05.04.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
76,한달사용기재구매아직도 유용하게 잘 사용중입니다,22.05.05.,5,재구매,한달사용기,선택: B_치과칫솔 / 종류: B-5 고급 이중 미세모(탄력적인) / 수량: 12개 개별 박스포장
77,교정을 시작하며 구입해봅니다,22.05.05.,5,0,0,선택: F_치간칫솔 / 종류: F-1 치간칫솔 I형 50p / 수량: M
78,재구매교정중인데 쓰기 좋네요. 개수도 많아요,22.05.07.,5,재구매,0,선택: F_치간칫솔 / 종류: F-1 치간칫솔 I형 50p / 수량: 2S(보편적인)
79,"아직 사용전이지만, 포장과 배송은 만족스러웠습니다.",22.05.02.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
80,치과전용 이라해서 그런지 더 좋아요 잘닦여서 매번 재구매합니다,22.05.06.,5,0,0,선택: E_유아 어린이칫솔 / 종류: E-4 코튼캔디 3단계(7~11세) / 수량: 12개 혼합색상 실속패키지
81,월래쓰던거라 잘쓸께요!! 감사해요!!,22.05.02.,5,0,0,선택: D_어금니칫솔 / 종류: D-4 컴팩트 라운드 스파이럴모 / 수량: 12개 개별 박스포장
82,한달사용기칫솔모 좋아요 정말 좋아요 단 교체시기는 빠른듯해요,22.05.06.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
83,한달사용기칫솔모 좋아요 정말 좋아요 단 교체시기는 빠른듯해요,22.05.06.,5,0,한달사용기,선택: 기획특가(리필형 칫솔) / 종류: 에코 지압칫솔 이중미세모(탄력) / 수량: 16개 실속패키지
84,한달사용기칫솔모 좋아요 정말 좋아요 단 교체시기는 빠른듯해요,22.05.06.,5,0,한달사용기,선택: F_치간칫솔 / 종류: F-4.리필형 치간칫솔 B세트 100p / 수량: 1S
85,한달사용기동그란칫솔은 탱탱하니 솔이 좋아요.구석구석 잘 닦이네요.,22.05.04.,5,0,한달사용기,선택: D_어금니칫솔 / 종류: D-4 컴팩트 라운드 스파이럴모 / 수량: 12개 개별 박스포장
86,"한달사용기칫솔 사이즈가 제가 생각했던것 보다 더 커요
저는 덧니가 있어 보통 사이즈보다 작은걸 사용해요
보통 쓰는 분들은 괜찮을듯해요",22.04.27.,5,0,한달사용기,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
87,재구매자주 교체해야하는 교정용 칫솔로 가성비 좋아요. 부드러워서 사용감도 좋아요,22.05.01.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
88,"처음엔 좀 칫솔모가 센가 했는데 적응해서 아주 잘 쓰고 있어요ㅎㅎ
집에 하나, 가방에 하나, 사무실에도 하나 막 써도 많으니 아주 좋아요!",22.04.13.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
89,사랑니 닦기 너무 좋습니다 진짜... 사랑니가 올바르게 나서 발치를 안해도 되는 사람입니다. 근데 발치를 안하니까 생긴 문제점이 일반칫솔로는 사랑니가 깨끗하게 다 안닦인다는 점... 그래서 사랑니에 충치가 몇개 생겼더군요 그래서 작은 칫솔을 찾다가 이 상품을 발견했습니다. 솔 부분이 뾰족해서 치아와 잇몸 사이를 세밀하게 닦을 수 있고 입을 크게 벌리면 사랑니 뒷부분까지 다 닿습니다! 정말 최고ㅠ 이제 어금니 칫솔 없으면 살아갈 수 없는 몸이 되어버렸습니다...,22.04.06.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 6개 실속패키지
