,내용,날짜,별점,재구매,한달사용기,종류
3185,한달사용기재구매진짜 자주 애용해용 ㅎ,22.03.02.,5,재구매,한달사용기,선택: B_치과칫솔 / 종류: B-4 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3186,좋아요 아이가 좋아하네요,22.02.25.,5,0,0,선택: A_대왕칫솔 / 종류: A-3 대왕 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
3187,교정하는데 넘 사용하기 좋아요,22.03.19.,4,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3188,스파이럴모 써보고 싶어서 구매했는데 넘 좋은거 같아요,22.02.22.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3189,한달에 한번씩 칫솔을 바꾸는 저에게는 가성비 딱 입니다,22.03.15.,5,0,0,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
3190,재구매가격대비 좋아요~ 배송도 빨라요!,22.02.24.,5,재구매,0,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
3191,늘쓰던거 10번째구매합니다,22.03.01.,5,0,0,선택: B_치과칫솔 / 종류: B-6 고급 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3192,재구매부드러워서 사용하기 좋아요,22.02.27.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3193,부드럽긴 매우 부드러운데 개운한 맛이 살짝떨어져요,22.03.15.,4,0,0,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
3194,가격대비 품질도 좋고 배송도 빠르네요,22.03.19.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 12개 실속패키지
3195,한달사용기만족합니다 다양하게 샀어요,22.02.27.,5,0,한달사용기,선택: F_치간칫솔 / 종류: F-1 치간칫솔 I형 50p / 수량: 4S
3196,한달사용기재구매잘 쓰고 있어요 ㅎㅎ,22.03.25.,5,재구매,한달사용기,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
3197,한달사용기재구매잘 쓰고 있어요 ㅎㅎ,22.03.25.,5,재구매,한달사용기,선택: D_어금니칫솔 / 종류: D-4 컴팩트 라운드 스파이럴모 / 수량: 12개 개별 박스포장
3198,한달사용기부드럽고 사용감이 좋아요,22.03.20.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3199,교정칫솔 좋아요. 앞으로 애용할께요,22.02.22.,4,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3200,칫솔 맘에듭니다 색상도이쁘고 혀클리너 선물도  감사합니다,22.02.22.,5,0,0,선택: B_치과칫솔 / 종류: B-4 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3201,만족합니다 만족합니다 만족합니다 ㅎㅎ,22.03.23.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
3202,좋아요 배송이빨랐어툐,22.03.15.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3203,재구매잘 받았습니다...,22.03.25.,5,재구매,0,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
3204,한달사용기재구매칫솔모가 삐져나와있는게 몇개있긴하지만 가성비 진짜 좋아용.~,22.02.21.,4,재구매,한달사용기,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
3205,재구매몇 개월동안 여기 칫솔만 써요~~ 좋아요,22.02.22.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3206,재구매치실 떨어질때마다 주문합니다,22.02.26.,5,재구매,0,선택: F_치간칫솔 / 종류: F-1 치간칫솔 I형 50p / 수량: 4S
3207,괜칞네요 좀더 써봐야겠어요,22.02.27.,5,0,0,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 12개 실속패키지
3208,배송빠르구요. 좋습니다. 교정용입니다,22.02.20.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3209,계속 주문해서 쓰고있습니다~^^,22.03.21.,5,0,0,선택: B_치과칫솔 / 종류: B-6 고급 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3210,부드럽고구석구석잘닦이네요담에또구입해야겧어오,22.03.14.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
3211,한달사용기생각보다 부드럽진 않지만 잘 쓰고있습니다,22.02.24.,4,0,한달사용기,선택: D_어금니칫솔 / 종류: D-3 어금니 슬림모(부드러움) / 수량: 12개 실속패키지
3212,교정중인 아들 잘 써야는데..,22.03.20.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 12개 실속패키지
3213,잘 받았습니다~~ 아이들이 신기해하며 어금니 칫솔질 한 번씩 더 해서 정말 좋아요!,22.02.19.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 12개 실속패키지
3214,보내주신 뇌물도 감사히 잘 쓰겠습니다!,22.02.25.,5,0,0,선택: B_치과칫솔 / 종류: B-6 고급 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3215,교정중이어서 쓰던거라 재작년에 주문했던거 또 주문했네요. 잘쓰고 있어요.,22.02.16.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
3216,재구매울아들  치아 교정하는데 교정칫솔 계속 재구매입니다.,22.02.24.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3217,딸아이 교정으로 구매했어요 잘사용하겠습니다,22.03.10.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3218,"확실히 더 잘 닦이네요
진작 쓸걸 ㅎㅎ",22.02.22.,5,0,0,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
3219,재구매이거이거만 사용해요,22.03.02.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3220,한달사용기아주 부드럽진 않지만 또 뻣뻣하지도 않아요. 대용량 저렴하게 잘 샀네요. 색이 연해서 이쁘네요,22.02.13.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3221,써보고남겨야 할것같아요,22.03.19.,4,0,0,선택: B_치과칫솔 / 종류: B-4 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3222,다음에 칫솔도 여기서 사야겠어요,22.02.25.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 12개 실속패키지
3223,"교정칫솔 아직 사용 전이긴 한데 괜찮았으면 좋겠네요.
어금니 칫솔은 처음  사보는데  신기하네요..ㅎ
뇌물로 주신것도 감사합니다. 모두 신기 해요~~",22.02.08.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 6개 실속패키지
3224,세번째 주문입니다! 교정시작해서 샀는데 좋아서 칫솔 계속 구매하고 이번에 치간칫솔이랑 교정용 치실도 구매했습니다 다쓰고 또 재주문하겠습니다~~,22.02.08.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3225,한달사용기칫솔이 엄청 잘 닦이네요,22.02.27.,5,0,한달사용기,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
3226,"교정치료 중인 아들이 사용하는데 너무 부드럽다고 좋아하네요 ㅎㅎ
선물 감사해요:)",22.02.15.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3227,"교정치료 중인 아들이 사용하는데 너무 부드럽다고 좋아하네요 ㅎㅎ
선물 감사해요:)",22.02.15.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3228,생각보다 강한모가 필요할 때가 있어서 주문했습니다.,22.02.23.,5,0,0,선택: B_치과칫솔 / 종류: B-1 일반 강한모(치석제거용) / 수량: 12개 실속패키지
3229,한달사용기딸아들이 교정하는데 좋아요,22.03.18.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3230,구석구석 잘닦을수있어서 좋네요,22.03.17.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3231,한달사용기좋아요~~ 사무실에서 집에서 모두 쓰고 있습니다.,22.02.20.,5,0,한달사용기,선택: A_대왕칫솔 / 종류: A-1 대왕 블랙 숯 이중미세모(탄력적인) / 수량: 12개 실속패키지
3232,마트에서 파는 고급 칫솔에비해 몸통부분은 저가형 느낌이지만 솔부분은 굉장히 고급스런 느낌,22.03.11.,5,0,0,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
3233,부드러워 보이네요  아이가 사용할거에요,22.03.11.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3234,한달사용기제품 역시 좋아요 재구매각,22.02.21.,4,0,한달사용기,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 6개 실속패키지
3235,한달사용기제품 역시 좋아요 재구매각,22.02.21.,4,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3236,아직사용전이지만 믿고구매합니다,22.03.17.,4,0,0,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
3237,치아에 진심인 신랑이 좋다고 해서 계속 구매하고 있습니다.,22.02.21.,5,0,0,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
3238,초딩 아들이 이 깨끗이 안닦아서 사봤어요.ㅋㅋ뻣뻣할줄 알았는데 부드럽고 탄탄한 느낌이 들어서 만족합니다.,22.02.12.,5,0,0,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
3239,한달사용기교정 하는  딸이 좋아요,22.03.20.,4,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3240,한달사용기조금 거칠어서 ㅠㅠ 잇몸이 아파요..;;;,22.03.16.,3,0,한달사용기,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
3241,치과보다 훨씬 저렴해서 좋아요,22.02.25.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3242,한달사용기치수 무가 탄탄하고 세척이 잘돼요,22.03.17.,5,0,한달사용기,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 12개 실속패키지
3243,한달사용기일반모는 많이 뻣뻣하네요. 평소 미세모 칫솔을 많이 써와서 생각보다 더 뻣뻣했어요,22.02.14.,4,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3244,칫솔 색깔도 이쁘고 하나하나 캡이 있어서 좋네요,22.02.22.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3245,한달사용기안쓴 새제품 몇개의 칫솔모가 한두가닥이 벌어져 있습니다.  원래 그런건지 그냥 신경안써도 되는 부분인지 모르겠습니다.?,22.02.14.,3,0,한달사용기,선택: B_치과칫솔 / 종류: B-5 고급 이중 미세모(탄력적인) / 수량: 12개 개별 박스포장
3246,모 탄탄하고 불량 상품 하나도 없어서 만족,22.02.24.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 6개 실속패키지
3247,빠른배송 감사합니다!,22.02.28.,5,0,0,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
3248,교린이라 쟁여두고 사용해 볼랍니다,22.02.24.,5,0,0,선택: D_어금니칫솔 / 종류: D-4 컴팩트 라운드 스파이럴모 / 수량: 12개 개별 박스포장
3249,재구매굿 ㅋㅋㅋ좋아용 ㅋㅋㅋ,22.03.22.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3250,재구매좋아요 가성비디ㅡ좋고좋아요,22.02.28.,5,재구매,0,선택: B_치과칫솔 / 종류: B-1 일반 강한모(치석제거용) / 수량: 12개 실속패키지
3251,좋아요! 칫솔 캡까지 같이 와서 따로 보관하기 편해요. 잘 쓰겠습니다.,22.03.08.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
3252,교정용칫솔과 치간칫솔 구매했어요,22.02.26.,5,0,0,선택: F_치간칫솔 / 종류: F-1 치간칫솔 I형 50p / 수량: 1S
3253,교정용칫솔 치과에서 구입해서 쓰다가 첨 온라인구매 해봤는데 맘에 듭니다,22.02.18.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3254,좋아요 좋아요 좋아요,22.03.23.,4,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
3255,두번째  구매인데요 더 예뻐졌네요~ 색상이 파스텔색상이라 더 이뻐요 ~ 포장도 실용적이고 좋아요,22.02.12.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3256,싸게 샀어요. 딸 아이가 치아 교정 하는데 칫솔이 필요해서 구매 했네요 . 가격도 치과 보다 저렴하고 각각 케이스도 있어서 실속 세트도 좋아요.,22.02.08.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3257,한달사용기교정칫솔로  이것만  써요,22.03.19.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
3258,아직 안 써봤지만 패키지도 괜찮고 가격도 싼 편이라 후딱후딱 갈아줄 심산으로 샀어요~~,22.02.18.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3259,교정중이라 딸이 사용하고 있어요,22.03.17.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3260,"치과에서 받은 칫솔에 비해 솔이 그렇게 부드럽진 않아요.,  양치중 칫솔모가 나오기도 하고..  저렴한 맛에 자주 바꿔주려고요",22.03.07.,3,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3261,"미세모가 타 칫솔애 비해 부드러움이 덜하고
일반모는 많이 단단하네요
칫솔 V컷이 조금밖에 안되어있어서 
일반칫솔과 비슷하네요
교정기사이로 솔이 별로 안들어가는듯하네요
일반모는 단단해서 살짝 아픈감이 있어요
반반 구매했는데 다 미세모사는게 나을듯했네요",22.02.21.,3,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
3262,저렴하게 잘 샀어요 치과에서 준 것보다 부드러워서 잇몸에서 피가 안나요,22.02.15.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3263,가격대비 품질이 좋아요,22.03.19.,5,0,0,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
3264,한달사용기모가 금방손상 되네요,22.02.27.,3,0,한달사용기,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
3265,교정용으로.반반주문했어요.배송은.진짜빠르구요.잘닦이구.부드럽고.쓰기편했어요.강추요^^,22.03.04.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
3266,"신랑 여기 칫솔 너무 좋아해요
유지장치 끼고 있는데
지난번 구매때 궁금해서 두개 사봤는데
더 사달라고ㅋ
얼마전까지 품절이던데 들어왔길래 바로 구매했어요^^",22.02.06.,5,0,0,선택: D_어금니칫솔 / 종류: D-4 컴팩트 라운드 스파이럴모 / 수량: 12개 개별 박스포장
3267,안쪽 칫솔이 닫지않는곳을 닦을수있어서 좋아요,22.03.14.,4,0,0,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 6개 실속패키지
3268,한달사용기칫솔 떨어지면 여기서 주문해요~치과에서 일해서 치과용 전용칫솔만 썼는데 여기 칫솔 좋아요~~  가족들 모두 잘쓰고 있고 잘닦입니다~ 주변에도 하나씩 나눠어주었는데 좋다고 하네요~^^,22.02.06.,5,0,한달사용기,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
3269,저렴하게 살 수 있어서 좋아요,22.02.25.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3270,부드럽고 가격도 싸서 두번째 샀어용~~,22.03.17.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3271,"양치질하고 나서도 찝찝한 감이 있어서 샀어요!
칫솔 크기가 작아서 이빨 사이사이 꼼꼼하게 닦을수 있어서 정말 좋습니다:)",22.02.09.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 6개 실속패키지
3272,칫솔모가 부드러워서 구석구석 쓰기 좋아요 넉넉하게 사서 한참 쓸거같아요,22.02.19.,5,0,0,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 12개 실속패키지
3273,"조리원에서부터  추천해주셔서   쓰길래~
 믿고  안심하고  계속  쓰고있습니다~",22.03.11.,5,0,0,선택: B_치과칫솔 / 종류: B-5 고급 이중 미세모(탄력적인) / 수량: 12개 실속패키지
3274,"한달사용기가족 모두 함께 사용하는 칫솔이에요.
추천합니다.",22.03.12.,5,0,한달사용기,선택: B_치과칫솔 / 종류: B-5 고급 이중 미세모(탄력적인) / 수량: 12개 실속패키지
3275,한달사용기어금니 칫솔 꼼꼼하게 잘 닦여요. 좋아요.,22.03.13.,5,0,한달사용기,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 12개 실속패키지
3276,재구매요. 재구매보다 더 확실한 후기가 있을까요^^^,22.02.20.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3277,빠른 배송 튼튼한 포장 감사합니다,22.02.24.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
3278,검색하다 후기가 좋아 구매했어요,22.03.17.,5,0,0,선택: E_유아 어린이칫솔 / 종류: E-4 코튼캔디 3단계(7~11세) / 수량: 12개 혼합색상 실속패키지
3279,아직 사용하지 않았지만 잘 쓸께요!!,22.03.17.,4,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
3280,한달사용기일반 칫솔보다 훨씬 좋아요,22.03.18.,5,0,한달사용기,선택: D_어금니칫솔 / 종류: D-4 컴팩트 라운드 스파이럴모 / 수량: 12개 개별 박스포장
3281,한달사용기일반 칫솔보다 훨씬 좋아요,22.03.18.,5,0,한달사용기,선택: D_어금니칫솔 / 종류: D-3 어금니 슬림모(부드러움) / 수량: 12개 실속패키지
3282,아이가 교정중이라 구매. 괜찮아요,22.03.17.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
3283,"잘 쓰고 있어요~
항상 구매하는 제품이에요~",22.03.11.,5,0,0,선택: D_어금니칫솔 / 종류: D-3 어금니 슬림모(부드러움) / 수량: 6개 실속패키지
3284,색도 예쁘고 개별포장 아니라서 좋아요,22.02.23.,5,0,0,선택: E_유아 어린이칫솔 / 종류: E-4 코튼캔디 3단계(7~11세) / 수량: 12개 혼합색상 실속패키지
3285,색도 예쁘고 개별포장 아니라서 좋아요,22.02.23.,5,0,0,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
3286,"한달사용기좋아요! 치과에서 준 교정칫솔보다 훨씬 잘닦이네요~
재구매 의사 있습니다!!",22.03.07.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3287,개별포장 되어있어 보관하기 좋아요,22.03.16.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 개별 박스포장
3288,한달사용기미세모라서 칫솔질하기좋아요 구석구석!,22.02.23.,5,0,한달사용기,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 6개 실속패키지
3289,써보니까 좋아용 중간에 택배가 부산으로 잘못 오도착해서 걱정했는데 그래도 도착해서 다행이였어요??,22.02.14.,5,0,0,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 6개 실속패키지
3290,"좋아요.
치과용 칫솔 써봤는데 좋아서 계속 주문해서 써요.",22.02.05.,5,0,0,선택: B_치과칫솔 / 종류: B-1 일반 강한모(치석제거용) / 수량: 12개 실속패키지
3291,"아이가 치아 교정을 해서 구매 했습니다.
양치하기에 모가 적당히 좋네요~",22.03.11.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 개별 박스포장
3292,잘쓰고있어요 금방   갈아줘야될거같아요,22.03.16.,4,0,0,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
3293,한달사용기이걸로 치아 하나하나 닦으면 젤 좋겟지만..그럴순 없으니 어금니 닦을때 좋아요^^! 조금 단단한듯요 담엔 좀 더 부드러운거 살래요,22.02.08.,5,0,한달사용기,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 6개 실속패키지
3294,교정칫솔 괜찮아요. 부드러운 모 사용하는데 좋아요,22.02.11.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
3295,"교정하는 초2학년아이를 위해 구매했어요~
교정기땜에 칫솔을 자주 바꿔야하는데
치과에서 사는것보다 넘 저렴히 샀어요~~
아이가 써보더니 부드럽고 좋다고하네요~^^",22.01.22.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3296,"입안이 작아서 헤드 작은게 좋기도 하고
칫솔모가 부드럽고 좋아요 ~~~",22.02.19.,5,0,0,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
3297,"배송이 약간 느럈지만 칫솔모 부드럽고 
잇몸 안아프고 구석구석 잘 닦이네요",22.03.10.,4,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3298,칫솔 머리가 작아 양치가 잘됩니다. 부드러우면서도 치석제거에도 도움이 되는거 같습니다.,22.03.09.,4,0,0,선택: B_치과칫솔 / 종류: B-4 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3299,한달사용기구석구석 잘 닦이고 아주 만족,22.02.25.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3300,배송빨라요. 생각보다 모가 빳빳해서 좀 걱정되지만 함써보려구요.,22.02.15.,5,0,0,선택: B_치과칫솔 / 종류: B-6 고급 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3301,한달사용기이거 덕분에 개운해짐,22.03.19.,5,0,한달사용기,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 6개 실속패키지
3302,치아교정중이라  2번째 구매입니다,22.02.24.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3303,치아교정중이라 2번째 구매입니다,22.02.24.,5,0,0,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
3304,처음 사용해보는데 좋은것 같아요!,22.02.24.,5,0,0,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
3305,교정시작하면서 구입했습니다. 저렴한가격에구입하네요. 배송도 빨랐습니다.,22.02.13.,4,0,0,선택: F_치간칫솔 / 종류: F-1 치간칫솔 I형 50p / 수량: 2S(보편적인)
3306,저한테는 너무 부드럽긴하네요. 그래도 가격대비 넘 좋아요,22.02.16.,4,0,0,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
3307,"재구매늘 여기서 구매하고 있어요.
교정용 칫솔 만족스러워서 교정 마칠때까지 쭉 이용할것 같습니다.",22.02.11.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3308,잘 쓰겠습니다 배송 빨라서 좋아요,22.03.16.,5,0,0,선택: F_치간칫솔 / 종류: F-4.리필형 치간칫솔 B세트 100p / 수량: 2S
3309,윗 어금니 바깥쪽이 잘 안 닦이는 것 같아 어금니 칫솔을 구매했는데 잘 닦이고 좋아요~,22.02.18.,5,0,0,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 6개 실속패키지
3310,저렴하니좋네요 개별 캡도있어서좋아요,22.02.19.,4,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
3311,만족합니다 교정칫솔좋아요,22.03.17.,5,0,0,선택: F_치간칫솔 / 종류: F-3 리필형 치간칫솔 A세트 50p / 수량: 1S
3312,대왕칫솔 짱입다 잘닦입니다,22.03.17.,5,0,0,선택: A_대왕칫솔 / 종류: A-1 대왕 블랙 숯 이중미세모(탄력적인) / 수량: 12개 실속패키지
3313,재구매가격 배송 모두 만족입니다.,22.03.18.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
