,본문,날짜,리트윗,하트
0,"무신사 크림 가품 논란 무신사 반박.jpg
https://dogdrip.net/dogdrip/385185192?sort_index=popular&page=1…

유통사VS기업형 되팔이 단두대 매치 가자 ㅋㅋㅋ",2월 22일,,
1,무신사 글 잘쓴다,2월 22일,1,
2,"이서방의 노력 
무신사 갖다 버리고 인스타ootd데일리룩 차려입고감",2월 22일,114,53
3,이제현한테 무신사st 아닌 사복이 있는게 제일 신기함,2월 22일,6,9
4,무신사 글 잘쓴다,2월 22일,1,
5,"이서방의 노력 
무신사 갖다 버리고 인스타ootd데일리룩 차려입고감",2월 22일,114,53
6,이제현한테 무신사st 아닌 사복이 있는게 제일 신기함,2월 22일,6,9
7,"'고가 티셔츠 진위' 무신사-크림 공방, 진실게임 결말은?",2월 22일,,
8,아 크림 개웃긴다 ㅋㅋㅋㅋㅋ 크림에서 안 산 에센셜 티셔츠도 무산 검수 해주겠대 ㅋㅋㅋㅋㅋㅋㅋ 크림 무신사 어디로 가는가,2월 22일,19,7
9,무신사 부티크에서 판매된 ‘에센셜’ 상품에 대한 네이버 크림의 근거없는 가품 판정과 관련해 알려 드립니다. https://newsroom.musinsa.com/newsroom-menu/2022-0222-00…,2월 22일,2,1
10,"ISTKÜNST x 무신사 스웨트 페스티벌 
하루하루 달라지는 특가 할인까지,
최대 55% 세일가로 다양한 스웨트 아이템을 만나보세요!

아이템 보러가기 http://bit.ly/301bgFv

#이스트쿤스트 #ISTKUNST #무신사 #MUSINSA",2월 22일,254,568
11,"Colonel Sanders is back

KFC Sanders with MUSINSA Spring Collection
https://bit.ly/3JNKAt9

#무신사 #MUSINSA #KFC #샌더스 #KFC할아버지 #무신사랑해 #ColonelSanders #Spring2022 #collection",2월 22일,1,4
12,"@jyojyochutaime_
 님에게 보내는 답글",2월 22일,,
13,"무신사 쟤네 한번 더 터졌으면 부티크라인 나락인데 이번에 걍 ㄹㅇ 우주방어한 거 같은 느낌? 크림은 시비 걸어봣자 기면 기고 아님 말고ㅋ 이게 더 강했어서 약간 가불기 각이었는데 …

다음은 질문 상자에",2월 22일,,
14,"@beyourbasil
 님에게 보내는 답글",2월 22일,,1
15,오빠평소에무신사st후드만걸치고다니잖아요..니트입는남자아니잖아요 무슨상견례왓냐고 아,2월 22일,,
16,"@to__kk_10
 님에게 보내는 답글",2월 22일,,
17,얘두라 원래 무신사 좀 느려...?,2월 22일,,
18,내기준 무신사남: 비니+안경+품이큰레더자켓+백바지+워커,2월 22일,,
19,야 난 선생님이 알림장 같은거에 써줬엌ㅋㅋㅋㅋㅋ메구는 항상 공주님처럼 하고 다닌다곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아오 시발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그 아이는 자라서 지옥의 (철딱서니없는) 무신사 쇼핑러가 되었습니다,2월 22일,1,1
20,무신사 vs 네이버 누가 이길지 흥미진진함,2월 22일,,
21,창윤이 무신사 짝퉁 소식 들었으려나.. 꽤나 충격 먹을지도,2월 22일,,
22,"무신사, “네이버 크림측 주장은 억측 불과” 법적 조치 예정(생활경제)",2월 22일,3,
23,"@to__kk_10
 님에게 보내는 답글",2월 22일,,
24,얘두라 원래 무신사 좀 느려...?,2월 22일,,
25,내기준 무신사남: 비니+안경+품이큰레더자켓+백바지+워커,2월 22일,,
26,"강섲쭈옷입은거 ㅈㄹ 무신사스트릿패숑한국국적2-30대캐쥬얼룩같아서킹받음 미친롬 ㅅ아주살아숨셔 아주 옷걸이부터가 달라 미친롬고소한다 하 ,.,,,,,,,,개발려 (우깅이:눈돌아감) 근데 벗겨도눈돌아감 이를우째",2월 22일,,3
27,무신사 ㅃㄹ 폭탄세일해라,2월 22일,1,1
28,난 현실에서 남자볼 때 몸에 무신사 쓰고 다니는 사람 피하고싶음…글고 그런애들이 좀 비만임 물론 나도 무신사 존나 걸치지만..,2월 22일,,
29,짝퉁 이슈있었던 무신사 멸망전 근황  http://newspic.kr/view.html?nid=2022022213101504408&pn=304&cp=q8PEM69J&utm_medium=affiliate&utm_campaign=2022022213101504408&utm_source=null&utm_content=np211118q8PEM69J_5…이&rssOption=NONE,2월 22일,,
30,"무신사 가품 아니라고 주장함
보니깐 에센셜 취급처 팍썬에 연락해서 정품 인증받아낸 거 같음",2월 22일,1,2
31,무신사 VS 크림 ㄹㅇ 개싸움중,2월 22일,17,11
32,"무신사
문신환불해",2월 22일,1,2
33,무신사 (Buy military official),2월 22일,1,1
34,와우... 에센셜 팍선발이면 무신사 승리 아닌가 ㅎ..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2월 22일,,
35,,,,
36,내 폰 좀 웃김 자꾸 이렇게 알림에 아이콘?이 내 인장도 아니고 트친들 인장으로 오류남 스냅스가 자주 그러는데 오늘은 무신사,2월 22일,,2
37,무신사 쿠폰 뿌리는 날 내 5년치 옷 장만하는 날,2월 22일,,4
38,무신사 크림 또 떳네,2월 22일,,1
39,무신사 짭 터지면 어디서 옷 사야해 씨바,2월 22일,,
40,"[단독]“오함마 가져와야 쓰겄다” 무신사vs크림 짝퉁 논란, 감정원 답 나왔다",2월 22일,1,
41,내 폰 좀 웃김 자꾸 이렇게 알림에 아이콘?이 내 인장도 아니고 트친들 인장으로 오류남 스냅스가 자주 그러는데 오늘은 무신사,2월 22일,,2
42,무신사 쿠폰 뿌리는 날 내 5년치 옷 장만하는 날,2월 22일,,4
43,크림과 무신사 중 누가 돈을 더 줬을까,2월 22일,,10
44,"@Herobine
 님에게 보내는 답글",2월 22일,,
45,무신사 측 입장을 정리하면 1. 에센셜 3대 공식 유통사인 곳 중 한 곳인 팍선에서 유통 받고 있고 2. 크림이 말한 검수기준은 개체 차이이고 팍선에서도 동일 차이를 보이며 3. 정가품판별 기관인 한국명품감정원은 개체 차이가 발생할 수 있다하고 레짓은 정품이라 감정했다,2월 22일,2,
46,"[단독] “오함마 가져와야 쓰겄다” 무신사vs크림 짝퉁 논란, 감정원 답은… (출처 : 조선일보 | 네이버 뉴스) http://naver.me/x22qZU7O

무신사 크림
무신사가 이겻대 ㅇㅇ",2월 22일,,
47,오전에 회사 와서 한 일이.. 조립컴 알아보고 무신사 크림 입 턴 것 밖에 없네,2월 22일,,
48,"❝ 또한 무신사는 팍선(PACSUN)으로부터 무신사 부티크로 상품이 유통되는 과정에서 바꿔치기 등의 문제가 발생할 가능성은 없는지 확인하기 위해, 검수 작업 과정을 촬영한 CCTV 영상 원본을 확보해 전수 조사도 병행했습니다.",2월 22일,,
49,무신사 랑 해 라는 광고볼때마다 사랑은 느그짭이랑 하세요 생각만남,2월 22일,,
50,"❝ 1. 무신사 부티크를 통해 판매된 에션셜 상품은 공식 유통 채널인 팍선(PACSUN)을 통해 확보한 신뢰할 수 있는 정품 입니다. 유통 경로에 관해 재확인하고, 유통 과정에서 발생할 수 있는 바꿔치기 등의 오류 가능성도 전수 검사했습니다.",2월 22일,,
51,무신사 시발새기들아,2월 22일,,
52,❝ 무신사는 에센셜 브랜드의 글로벌 공식 유통사를 통해 무신사 부티크에서 판매된 에션셜 상품이 모두 정품임을 재차 확인 받았습니다. 또한 명품감정원에 의뢰한 결과 상품의 개체 차이가 정·가품 여부를 판단하는 기준이 될 수 없다는 추가 의견도 있었습니다.,2월 22일,,
53,"[단독] ""오함마 가져와야 쓰겄다"" 무신사vs크림 짝퉁 논란, 감정원 답은.. | 다음 뉴스",2월 22일,,
54,샀던상품중 불량있어서 환불하려다가 교환신청했는데 업체문의중이라고만뜨고 답변 하나 없음 좆같음 업체에연락해보니까 접수된게 하나도없대 시발 알고보니까 업체문의중 ㅇㅈㄹ해놓고 그냥 안하고있는듯 무신사 시발럼들아 왜 사이트를 저따위로만드냐 진짜,2월 22일,,1
55,감정 소견서까지 공개했습니다ㅎㄷㄷ http://i.wik.im/articles/733885 #무신사 #크림 #한국명품감정원,,,
56,무신사 vs 크림은 대충 어디도 안이겼넼ㅋ 피어오브갓에서 에센셜 어쩌구는 비싼것도 아니고 평범하게 내동생도 입던데 뭔 난리가나고...무신사랑 네이버가 싸우면 솔직히 무신사가 아무리커도 못이기지 소셜공룡인데 ㅋ,2월 22일,,2
57,"무신사 가입하려고 하는데 추천인코드 알려주실 분 계신가욤,,",2월 22일,1,1
58,"[단독] ""오함마 가져와야 쓰겄다"" 무신사vs크림 짝퉁 논란, 감정원 답은.. 
한국명품감정원은 피어오브갓의 에센셜 티셔츠에 대해 “가품(짝퉁)이라고 판단하기 어렵다” 크림이  제시한 진품 감정법에 대해서는 “개체 차이일 뿐 가품 판정 기준으로 보기 어렵다”",2월 22일,,
59,가방 골라보실 분... 다 별로거나 추천할 만한 다른 거 있으면 말해주세요 나 이런 거 진짜 몰라서 걍 무신사 대충 털어옴,2월 22일,,1
60,무신사 근데 사본적이 없어,2월 22일,,
61,[KFC 할인/이벤트] #event 오늘 단 하루! KFC X 무신사 콜라보기념! 징거벨오더전용 신상드림팩 구매 시 3만원 상당의 한.정.판 티셔츠가 무료! 신메뉴…,2월 22일,,
62,무신사 vs 크림은 대충 어디도 안이겼넼ㅋ 피어오브갓에서 에센셜 어쩌구는 비싼것도 아니고 평범하게 내동생도 입던데 뭔 난리가나고...무신사랑 네이버가 싸우면 솔직히 무신사가 아무리커도 못이기지 소셜공룡인데 ㅋ,2월 22일,,2
63,"무신사 가입하려고 하는데 추천인코드 알려주실 분 계신가욤,,",2월 22일,1,1
